LOW,S1,S2,S3,SIZE,STD_POINT,FORCE,AREA_AVG,SIDE
1,1017.52,1010.14,1026.65,1,1.1,50,1.1,0
2,1017.5,1010.14,1025.86,1,1.1,50,1.1,0
3,1017.57,1010.15,1026.2,1,1.1,50,1.1,0
4,1017.61,1010.13,1026.58,1,1.1,50,1.1,0
5,1017.64,1010.11,1026.43,1,1.1,50,1.1,0
6,1017.65,1010.13,1025.68,1,1.1,50,1.1,0
7,1017.71,1010.11,1025.66,1,1.1,50,1.1,0
8,1017.72,1010.11,1026.39,1,1.1,50,1.1,0
9,1017.74,1010.14,1025.61,1,1.1,50,1.1,0
10,1017.78,1010.16,1025.64,1,1.1,50,1.1,0
11,1017.78,1010.11,1026.01,1,1.1,50,1.1,0
12,1017.79,1010.11,1025.19,1,1.1,50,1.1,0
13,1017.81,1010.13,1025.93,1,1.1,50,1.1,0
14,1017.8,1010.13,1024.99,1,1.1,50,1.1,0
15,1017.86,1010.12,1024.71,1,1.1,50,1.1,0
16,1017.88,1010.11,1025.41,1,1.1,50,1.1,0
17,1017.92,1010.12,1025.26,1,1.1,50,1.1,0
18,1017.98,1010.11,1024.72,1,1.1,50,1.1,0
19,1017.96,1010.14,1024.68,1,1.1,50,1.1,0
20,1017.99,1010.12,1024.38,1,1.1,50,1.1,0
21,1018,1010.16,1024.82,1,1.1,50,1.1,0
22,1018.02,1010.12,1024.82,1,1.1,50,1.1,0
23,1018.05,1010.12,1026.81,1,1.1,50,1.1,0
24,1018.07,1010.15,1026.01,1,1.1,50,1.1,0
25,1018.06,1010.13,1026.11,1,1.1,50,1.1,0
26,1017.52,1010.14,1025.93,1,1.1,50,1.1,0
27,1017.5,1010.14,1026.44,1,1.1,50,1.1,0
28,1017.57,1010.15,1025.73,1,1.1,50,1.1,0
29,1017.61,1010.13,1025.42,1,1.1,50,1.1,0
30,1017.64,1010.11,1026,1,1.1,50,1.1,0
31,1017.65,1010.13,1026.23,1,1.1,50,1.1,0
32,1017.71,1010.11,1025.75,1,1.1,50,1.1,0
33,1017.72,1010.11,1025.57,1,1.1,50,1.1,0
34,1017.74,1010.14,1025.04,1,1.1,50,1.1,0
35,1017.78,1010.16,1025.42,1,1.1,50,1.1,0
36,1017.78,1010.11,1024.77,1,1.1,50,1.1,0
37,1017.79,1010.11,1024.89,1,1.1,50,1.1,0
38,1017.81,1010.13,1025.19,1,1.1,50,1.1,0
39,1017.8,1010.13,1024.49,1,1.1,50,1.1,0
40,1017.86,1010.12,1024.42,1,1.1,50,1.1,0
41,1017.88,1010.11,1024.9,1,1.1,50,1.1,0
42,1017.92,1010.12,1025.32,1,1.1,50,1.1,0
43,1017.98,1010.11,1024.92,1,1.1,50,1.1,0
44,1017.79,1010.11,1025.2,1,1.1,50,1.1,0
45,1017.81,1010.13,1024.54,1,1.1,50,1.1,0
46,1017.8,1010.13,1025.27,1,1.1,50,1.1,0
47,1017.86,1010.12,1025.23,1,1.1,50,1.1,0
48,1017.88,1010.11,1024.86,1,1.1,50,1.1,0
49,1017.92,1010.12,1024.31,1,1.1,50,1.1,0
50,1017.98,1010.11,1024.72,1,1.1,50,1.1,0
1,1028.35,1010.02,1053.85,1,1.1,100,1.1,0
2,1028.36,1010,1054.22,1,1.1,100,1.1,0
3,1028.43,1010,1054.05,1,1.1,100,1.1,0
4,1028.45,1010.03,1053.29,1,1.1,100,1.1,0
5,1028.4,1010,1053.6,1,1.1,100,1.1,0
6,1028.56,1010.03,1053.4,1,1.1,100,1.1,0
7,1028.71,1010.02,1053.45,1,1.1,100,1.1,0
8,1028.76,1010,1053.41,1,1.1,100,1.1,0
9,1028.82,1010.04,1053.59,1,1.1,100,1.1,0
10,1028.91,1010.02,1053.82,1,1.1,100,1.1,0
11,1028.87,1010.01,1053.05,1,1.1,100,1.1,0
12,1028.97,1010.03,1053.73,1,1.1,100,1.1,0
13,1029.08,1010.03,1053.67,1,1.1,100,1.1,0
14,1029.08,1010.01,1052.99,1,1.1,100,1.1,0
15,1029.01,1010.03,1053.47,1,1.1,100,1.1,0
16,1028.97,1010.02,1052.95,1,1.1,100,1.1,0
17,1028.86,1010.05,1053.24,1,1.1,100,1.1,0
18,1028.95,1010.01,1052.42,1,1.1,100,1.1,0
19,1029.07,1010.03,1053.03,1,1.1,100,1.1,0
20,1029.08,1010.04,1052.42,1,1.1,100,1.1,0
21,1029.04,1010.03,1052.89,1,1.1,100,1.1,0
22,1029.05,1010.04,1052.01,1,1.1,100,1.1,0
23,1029.07,1010.01,1052.35,1,1.1,100,1.1,0
24,1029.16,1010.01,1052.05,1,1.1,100,1.1,0
25,1029.13,1010.02,1052.15,1,1.1,100,1.1,0
26,1029.04,1010.02,1051.95,1,1.1,100,1.1,0
